,PAN_Number,Mother Name,Permanent_Address,modified_date,Mobile Number,Temporary_Address,SpouseName,Customer ID,votersID,SC Number,National Id,Gender,Customer Code,Date of Birth,License Number,votersAge,soup1,Father_Name,Name,source,Blood Group,Citizenship Number
10,LMNO1234PL,Chandra Khadka,"Birtamode, Jhapa, Nepal",2024-05-30 04:23:34.821009,1234567800,"Sanepa, Lalitpur, Nepal",Nisha Khadka,3255,11113982,001.01.11,EF123G,Male,12113982,2000-11-11,15-06-41273848,39,aaravadhikari 2000-11-11 rajanbahaduradhikari,Rajan Bahadur Adhikari,Aarav Adhikari,"bank, esewa, voter, electricity, license",O+,575-80644-44438/883300
11,QRST5678UM,Tulasa Magar,"Dhangadhi, Kailali, Nepal",2024-05-30 04:23:34.825210,2345678902,"Putalisadak, Kathmandu, Nepal",Kamal Magar,3256,12122547,001.01.12,HI456J,Female,13122547,2001-12-12,31-01-32329238,48,snehajoshi 2001-12-12 rameshbahadurjoshi,Ramesh Bahadur Joshi,Sneha Joshi,"bank, esewa, voter, electricity, license",AB+,599-66155-86484/518801
12,VWXY9012NZ,Ganga Yadav,"Itahari, Sunsari, Nepal",2024-05-30 04:23:34.827676,3456789013,"Tinkune, Kathmandu, Nepal",Sita Yadav,3257,13135698,001.01.13,KL789M,Male,13235698,1989-01-13,73-02-11496212,31,pratikshahi 1989-01-13 sureshkumarshahi,Suresh Kumar Shahi,Pratik Shahi,"bank, esewa, voter, electricity, license",O-,371-38746-28131/634277
13,ABCD3456OP,Sunita Bista,"Bhaktapur, Bhaktapur, Nepal",2024-05-30 04:23:34.830099,4567890124,"Sinamangal, Kathmandu, Nepal",Mina Bista,3258,14147652,001.01.14,NO012P,Female,14247652,1988-02-14,94-08-09289547,29,anjubhattarai 1988-02-14 dineshrajbhattarai,Dinesh Raj Bhattarai,Anju Bhattarai,"bank, esewa, voter, electricity, license",AB-,506-21915-16175/214975
14,EFGH7890QR,Gita Dhakal,"Kirtipur, Kathmandu, Nepal",2024-05-30 04:23:34.832379,5678901235,"Thamel, Kathmandu, Nepal",Ram Dhakal,3259,15158963,001.01.15,QR345S,Male,15158964,1987-03-15,98-09-16879291,44,manishmaharjan 1987-03-15 bijaybahadurmaharjan,Bijay Bahadur Maharjan,Manish Maharjan,"bank, esewa, voter, electricity, license",B+,157-92240-30969/930555
15,STUV1234WX,Laxmi Pant,"Lalitpur, Lalitpur, Nepal",2024-05-30 04:23:34.835159,6789012346,"Jawalakhel, Lalitpur, Nepal",Radha Pant,3260,16169852,001.01.16,TU678V,Female,16169853,1986-04-16,17-11-63791321,53,pujakc 1986-04-16 rameshbahadurkc,Ramesh Bahadur KC,Puja KC,"bank, esewa, voter, electricity, license",AB-,697-65333-88172/166613
16,YZAB5678CD,Sarita Joshi,"Ghorahi, Dang, Nepal",2024-05-30 04:23:34.838159,7890123457,"Maitighar, Kathmandu, Nepal",Amit Joshi,3261,17175246,001.01.17,WX901Y,Male,17375246,1985-05-17,71-03-35575299,37,anilkhadka 1985-05-17 rajeshbahadurkhadka,Rajesh Bahadur Khadka,Anil Khadka,"bank, esewa, voter, electricity, license",AB-,395-60019-88104/590785
17,EFGH9012EF,Meena Bhattarai,"Tansen, Palpa, Nepal",2024-05-30 04:23:34.842266,8901234568,"Buddhanagar, Kathmandu, Nepal",Anita Bhattarai,3262,18183569,001.01.18,ZA234B,Female,18383569,1984-06-18,68-10-56792613,28,ritarimal 1984-06-18 ganeshbahadurrimal,Ganesh Bahadur Rimal,Rita Rimal,"bank, esewa, voter, electricity, license",B-,542-42953-82512/112038
18,IJKL3456GH,Manju Gurung,"Bidur, Nuwakot, Nepal",2024-05-30 04:23:34.844629,9012345679,"Naxal, Kathmandu, Nepal",Sanu Gurung,3263,19194258,001.01.19,CD567E,Male,19294258,1983-07-19,28-09-97969690,46,pratikshadahal 1983-07-19 santoshbahadurdahal,Santosh Bahadur Dahal,Pratiksha Dahal,"bank, esewa, voter, electricity, license",AB+,697-25014-99353/663054
19,MNOP7890IJ,Rita Lama,"Damak, Jhapa, Nepal",2024-05-30 04:23:34.847075,123456790,"Gaushala, Kathmandu, Nepal",Hari Lama,3264,20205417,001.01.20,FG890H,Female,20305417,1982-08-20,89-04-95690392,40,dipeshpokharel 1982-08-20 shyamsundarpokharel,Shyam Sundar Pokharel,Dipesh Pokharel,"bank, esewa, voter, electricity, license",A-,769-44973-94012/456699
