source,Permanent_Address,votersAge,Mobile Number,Mother Name,Temporary_Address,Date of Birth,Citizenship Number,PAN_Number,Customer Code,votersID,last_modified_date,soup,Gender,Father_Name,Blood Group,License Number,SC Number,Customer ID,National Id,Name,SpouseName,uuid
"layout1, layout2, layout3, layout4, layout5","Birtamode, Jhapa, Nepal",39,1234567800,Chandra Khadka,"Sanepa, Lalitpur, Nepal",2000-11-11,575-80644-44438/883300,LMNO1234PL,12113982,11113982,2024-05-30 17:00:43.699616,aaravadhikari 2000-11-11 rajanbahaduradhikari,Male,Rajan Bahadur Adhikari,O+,15-06-41273848,001.01.11,3255,EF123G,Aarav Adhikari,Nisha Khadka,1181214891189
"layout1, layout2, layout3, layout4, layout5","Dhangadhi, Kailali, Nepal",48,2345678902,Tulasa Magar,"Putalisadak, Kathmandu, Nepal",2001-12-12,599-66155-86484/518801,QRST5678UM,13122547,12122547,2024-05-30 17:00:43.701622,snehajoshi 2001-12-12 rameshbahadurjoshi,Female,Ramesh Bahadur Joshi,AB+,31-01-32329238,001.01.12,3256,HI456J,Sneha Joshi,Kamal Magar,9458105989020
"layout1, layout2, layout3, layout4, layout5","Itahari, Sunsari, Nepal",31,3456789013,Ganga Yadav,"Tinkune, Kathmandu, Nepal",1989-01-13,371-38746-28131/634277,VWXY9012NZ,13235698,13135698,2024-05-30 17:00:43.703621,pratikshahi 1989-01-13 sureshkumarshahi,Male,Suresh Kumar Shahi,O-,73-02-11496212,001.01.13,3257,KL789M,Pratik Shahi,Sita Yadav,6810919818901
"layout1, layout2, layout3, layout4, layout5","Bhaktapur, Bhaktapur, Nepal",29,4567890124,Sunita Bista,"Sinamangal, Kathmandu, Nepal",1988-02-14,506-21915-16175/214975,ABCD3456OP,14247652,14147652,2024-05-30 17:00:43.705620,anjubhattarai 1988-02-14 dineshrajbhattarai,Female,Dinesh Raj Bhattarai,AB-,94-08-09289547,001.01.14,3258,NO012P,Anju Bhattarai,Mina Bista,1401281001819
"layout1, layout2, layout3, layout4","Kirtipur, Kathmandu, Nepal",44,5678901235,Gita Dhakal,"Thamel, Kathmandu, Nepal",1987-03-15,,EFGH7890QR,15158964,15158963,2024-05-30 17:00:43.666758,manishmaharjan 1987-03-15 bijaybahadurmaharjan,Male,Bijay Bahadur Maharjan,,,001.01.15,3259,QR345S,Manish Maharjan,Ram Dhakal,3149983181801
"layout1, layout2, layout3, layout4, layout5","Lalitpur, Lalitpur, Nepal",53,6789012346,Laxmi Pant,"Jawalakhel, Lalitpur, Nepal",1986-04-16,697-65333-88172/166613,STUV1234WX,16169853,16169852,2024-05-30 17:00:43.707620,pujakc 1986-04-16 rameshbahadurkc,Female,Ramesh Bahadur KC,AB-,17-11-63791321,001.01.16,3260,TU678V,Puja KC,Radha Pant,6101130198600
"layout1, layout2, layout3, layout4","Ghorahi, Dang, Nepal",37,7890123457,Sarita Joshi,"Maitighar, Kathmandu, Nepal",1985-05-17,,YZAB5678CD,17375246,17175246,2024-05-30 17:00:43.666758,anilkhadka 1985-05-17 rajeshbahadurkhadka,Male,Rajesh Bahadur Khadka,,,001.01.17,3261,WX901Y,Anil Khadka,Amit Joshi,1492181411019
"layout1, layout2, layout3, layout4, layout5","Tansen, Palpa, Nepal",28,8901234568,Meena Bhattarai,"Buddhanagar, Kathmandu, Nepal",1984-06-18,542-42953-82512/112038,EFGH9012EF,18383569,18183569,2024-05-30 17:00:43.710622,ritarimal 1984-06-18 ganeshbahadurrimal,Female,Ganesh Bahadur Rimal,B-,68-10-56792613,001.01.18,3262,ZA234B,Rita Rimal,Anita Bhattarai,8901893120198
"layout1, layout2, layout3, layout4, layout5","Bidur, Nuwakot, Nepal",46,9012345679,Manju Gurung,"Naxal, Kathmandu, Nepal",1983-07-19,697-25014-99353/663054,IJKL3456GH,19294258,19194258,2024-05-30 17:00:43.712622,pratikshadahal 1983-07-19 santoshbahadurdahal,Male,Santosh Bahadur Dahal,AB+,28-09-97969690,001.01.19,3263,CD567E,Pratiksha Dahal,Sanu Gurung,6810919814181
"layout1, layout2, layout3, layout4","Damak, Jhapa, Nepal",40,123456790,Rita Lama,,1982-08-20,,MNOP7890IJ,20305417,20205417,2024-05-30 17:00:43.666758,dipeshpokharel 1982-08-20 shyamsundarpokharel,Female,Shyam Sundar Pokharel,,,001.01.20,3264,FG890H,Dipesh Pokharel,Hari Lama,4965986518185
layout5,"Bharatpur, Chitwan, Nepal",,5678901234,,"Balkumari, Lalitpur, Nepal",,864-17331-40021/961722,,,,2024-05-30 17:00:17.548609,mohanlama  krishnarajlama,,Krishna Raj Lama,A+,14-11-40056582,,,,Mohan Lama,,3581421310018
layout5,"Hetauda, Makwanpur, Nepal",,7890123456,,"Kumaripati, Lalitpur, Nepal",,068-37653-84341/852787,,,,2024-05-30 17:00:17.548609,krishnarai  ,,,AB+,26-03-50185868,,,,Krishna Rai,,1899841819000
layout5,"Nepalgunj, Banke, Nepal",,9012345678,,"Boudha, Kathmandu, Nepal",,406-94259-70142/249811,,,,2024-05-30 17:00:17.548609,bikashkarki  bhagirathbahadurkarki,,Bhagirath Bahadur Karki,B-,68-01-80388982,,,,Bikash Karki,,2911981181900
layout5,"Kirtipur, Kathmandu, Nepal",,5678901235,,"Thamel, Kathmandu, Nepal",,157-92240-30969/930555,,,,2024-05-30 17:00:17.548609,manishmaharjan  ,,,B+,98-09-16879291,,,,Manish Maharjan,,3149983181801
layout5,"Ghorahi, Dang, Nepal",,7890123457,,"Maitighar, Kathmandu, Nepal",,395-60019-88104/590785,,,,2024-05-30 17:00:17.548609,anilkhadka  ,,,AB-,71-03-35575299,,,,Anil Khadka,,1492181411000
layout5,"Damak, Jhapa, Nepal",,123456790,,"Gaushala, Kathmandu, Nepal",,769-44973-94012/456699,,,,2024-05-30 17:00:17.548609,dipeshpokharel  shyamsundarpokharel,,Shyam Sundar Pokharel,A-,89-04-95690392,,,,Dipesh Pokharel,,4965986518185
