Mother Name,soup,SC Number,Blood Group,Temporary_Address,Customer ID,National Id,votersID,last_modified_date,Permanent_Address,SpouseName,votersAge,source,Father_Name,Gender,Mobile Number,PAN_Number,Name,License Number,Customer Code,Citizenship Number,Date of Birth,uuid
Chandra Khadka,aaravadhikari 2000-11-11 rajanbahaduradhikari,001.01.11,O+,"Sanepa, Lalitpur, Nepal",3255,EF123G,11113982,2024-05-31 10:24:53.981094,"Birtamode, Jhapa, Nepal",Nisha Khadka,39,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Rajan Bahadur Adhikari,Male,1234567800,LMNO1234PL,Aarav Adhikari,15-06-41273848,12113982,575-80644-44438/883300,2000-11-11,1181214891189
Tulasa Magar,snehajoshi 2001-12-12 rameshbahadurjoshi,001.01.12,AB+,"Putalisadak, Kathmandu, Nepal",3256,HI456J,12122547,2024-05-31 10:24:53.982979,"Dhangadhi, Kailali, Nepal",Kamal Magar,48,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Ramesh Bahadur Joshi,Female,2345678902,QRST5678UM,Sneha Joshi,31-01-32329238,13122547,599-66155-86484/518801,2001-12-12,9458105989020
Ganga Yadav,pratikshahi 1989-01-13 sureshkumarshahi,001.01.13,O-,"Tinkune, Kathmandu, Nepal",3257,KL789M,13135698,2024-05-31 10:24:53.984809,"Itahari, Sunsari, Nepal",Sita Yadav,31,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Suresh Kumar Shahi,Male,3456789013,VWXY9012NZ,Pratik Shahi,73-02-11496212,13235698,371-38746-28131/634277,1989-01-13,6810919818901
Sunita Bista,anjubhattarai 1988-02-14 dineshrajbhattarai,001.01.14,AB-,"Sinamangal, Kathmandu, Nepal",3258,NO012P,14147652,2024-05-31 10:24:53.986867,"Bhaktapur, Bhaktapur, Nepal",Mina Bista,29,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Dinesh Raj Bhattarai,Female,4567890124,ABCD3456OP,Anju Bhattarai,94-08-09289547,14247652,506-21915-16175/214975,1988-02-14,1401281001819
Gita Dhakal,manishmaharjan 1987-03-15 bijaybahadurmaharjan,001.01.15,,"Thamel, Kathmandu, Nepal",3259,QR345S,15158963,2024-05-31 10:24:53.945376,"Kirtipur, Kathmandu, Nepal",Ram Dhakal,44,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",Bijay Bahadur Maharjan,Male,5678901235,EFGH7890QR,Manish Maharjan,,15158964,,1987-03-15,3149983181801
Laxmi Pant,pujakc 1986-04-16 rameshbahadurkc,001.01.16,AB-,"Jawalakhel, Lalitpur, Nepal",3260,TU678V,16169852,2024-05-31 10:24:53.990994,"Lalitpur, Lalitpur, Nepal",Radha Pant,53,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Ramesh Bahadur KC,Female,6789012346,STUV1234WX,Puja KC,17-11-63791321,16169853,697-65333-88172/166613,1986-04-16,6101130198600
Sarita Joshi,anilkhadka 1985-05-17 rajeshbahadurkhadka,001.01.17,,"Maitighar, Kathmandu, Nepal",3261,WX901Y,17175246,2024-05-31 10:24:53.949054,"Ghorahi, Dang, Nepal",Amit Joshi,37,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",Rajesh Bahadur Khadka,Male,7890123457,YZAB5678CD,Anil Khadka,,17375246,,1985-05-17,1492181411019
Meena Bhattarai,ritarimal 1984-06-18 ganeshbahadurrimal,001.01.18,B-,"Buddhanagar, Kathmandu, Nepal",3262,ZA234B,18183569,2024-05-31 10:24:53.993901,"Tansen, Palpa, Nepal",Anita Bhattarai,28,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Ganesh Bahadur Rimal,Female,8901234568,EFGH9012EF,Rita Rimal,68-10-56792613,18383569,542-42953-82512/112038,1984-06-18,8901893120198
Manju Gurung,pratikshadahal 1983-07-19 santoshbahadurdahal,001.01.19,AB+,"Naxal, Kathmandu, Nepal",3263,CD567E,19194258,2024-05-31 10:24:53.995717,"Bidur, Nuwakot, Nepal",Sanu Gurung,46,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Santosh Bahadur Dahal,Male,9012345679,IJKL3456GH,Pratiksha Dahal,28-09-97969690,19294258,697-25014-99353/663054,1983-07-19,6810919814181
Rita Lama,dipeshpokharel 1982-08-20 shyamsundarpokharel,001.01.20,,,3264,FG890H,20205417,2024-05-31 10:24:53.955153,"Damak, Jhapa, Nepal",Hari Lama,40,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",Shyam Sundar Pokharel,Female,123456790,MNOP7890IJ,Dipesh Pokharel,,20305417,,1982-08-20,4965986518185
,mohanlama  krishnarajlama,,A+,"Balkumari, Lalitpur, Nepal",,,,2024-05-31 10:24:53.783821,"Bharatpur, Chitwan, Nepal",,,layout5.csv,Krishna Raj Lama,,5678901234,,Mohan Lama,14-11-40056582,,864-17331-40021/961722,,3581421310018
,krishnarai  ,,AB+,"Kumaripati, Lalitpur, Nepal",,,,2024-05-31 10:24:53.783821,"Hetauda, Makwanpur, Nepal",,,layout5.csv,,,7890123456,,Krishna Rai,26-03-50185868,,068-37653-84341/852787,,1899841819000
,bikashkarki  bhagirathbahadurkarki,,B-,"Boudha, Kathmandu, Nepal",,,,2024-05-31 10:24:53.783821,"Nepalgunj, Banke, Nepal",,,layout5.csv,Bhagirath Bahadur Karki,,9012345678,,Bikash Karki,68-01-80388982,,406-94259-70142/249811,,2911981181900
,manishmaharjan  ,,B+,"Thamel, Kathmandu, Nepal",,,,2024-05-31 10:24:53.783821,"Kirtipur, Kathmandu, Nepal",,,layout5.csv,,,5678901235,,Manish Maharjan,98-09-16879291,,157-92240-30969/930555,,3149983181801
,anilkhadka  ,,AB-,"Maitighar, Kathmandu, Nepal",,,,2024-05-31 10:24:53.783821,"Ghorahi, Dang, Nepal",,,layout5.csv,,,7890123457,,Anil Khadka,71-03-35575299,,395-60019-88104/590785,,1492181411000
,dipeshpokharel  shyamsundarpokharel,,A-,"Gaushala, Kathmandu, Nepal",,,,2024-05-31 10:24:53.783821,"Damak, Jhapa, Nepal",,,layout5.csv,Shyam Sundar Pokharel,,123456790,,Dipesh Pokharel,89-04-95690392,,769-44973-94012/456699,,4965986518185
