Customer Code,National Id,soup1,Temporary_Address,SpouseName,votersID,Date of Birth,votersAge,Gender,source,PAN_Number,Name,modified_date,SC Number,Permanent_Address,Father_Name,Mother Name,Customer ID,Mobile Number
12113982,EF123G,aaravadhikari 2000-11-11 rajanbahaduradhikari,,Nisha Khadka,11113982,2000-11-11,39,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",LMNO1234PL,Aarav Adhikari,2024-05-30 08:17:26.492319,001.01.11,"Birtamode, Jhapa, Nepal",Rajan Bahadur Adhikari,Chandra Khadka,3255,1234567800
13122547,HI456J,snehajoshi 2001-12-12 rameshbahadurjoshi,"Putalisadak, Kathmandu, Nepal",Kamal Magar,12122547,2001-12-12,48,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",QRST5678UM,Sneha Joshi,2024-05-30 08:17:26.494655,001.01.12,"Dhangadhi, Kailali, Nepal",Ramesh Bahadur Joshi,Tulasa Magar,3256,2345678902
13235698,KL789M,pratikshahi 1989-01-13 sureshkumarshahi,"Tinkune, Kathmandu, Nepal",Sita Yadav,13135698,1989-01-13,31,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",VWXY9012NZ,Pratik Shahi,2024-05-30 08:17:26.496654,001.01.13,"Itahari, Sunsari, Nepal",Suresh Kumar Shahi,Ganga Yadav,3257,3456789013
14247652,NO012P,anjubhattarai 1988-02-14 dineshrajbhattarai,"Sinamangal, Kathmandu, Nepal",Mina Bista,14147652,1988-02-14,29,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",ABCD3456OP,Anju Bhattarai,2024-05-30 08:17:26.498568,001.01.14,"Bhaktapur, Bhaktapur, Nepal",Dinesh Raj Bhattarai,Sunita Bista,3258,4567890124
15158964,QR345S,manishmaharjan 1987-03-15 bijaybahadurmaharjan,"Thamel, Kathmandu, Nepal",Ram Dhakal,15158963,1987-03-15,44,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",EFGH7890QR,Manish Maharjan,2024-05-30 08:17:26.500745,001.01.15,"Kirtipur, Kathmandu, Nepal",Bijay Bahadur Maharjan,Gita Dhakal,3259,5678901235
16169853,TU678V,pujakc 1986-04-16 rameshbahadurkc,"Jawalakhel, Lalitpur, Nepal",Radha Pant,16169852,1986-04-16,53,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",STUV1234WX,Puja KC,2024-05-30 08:17:26.503335,001.01.16,"Lalitpur, Lalitpur, Nepal",Ramesh Bahadur KC,Laxmi Pant,3260,6789012346
17375246,WX901Y,anilkhadka 1985-05-17 rajeshbahadurkhadka,"Maitighar, Kathmandu, Nepal",Amit Joshi,17175246,1985-05-17,37,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",YZAB5678CD,Anil Khadka,2024-05-30 08:17:26.505615,001.01.17,"Ghorahi, Dang, Nepal",Rajesh Bahadur Khadka,Sarita Joshi,3261,7890123457
18383569,ZA234B,ritarimal 1984-06-18 ganeshbahadurrimal,,Anita Bhattarai,18183569,1984-06-18,28,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",EFGH9012EF,Rita Rimal,2024-05-30 08:17:26.507973,001.01.18,"Tansen, Palpa, Nepal",Ganesh Bahadur Rimal,Meena Bhattarai,3262,8901234568
19294258,CD567E,pratikshadahal 1983-07-19 santoshbahadurdahal,,Sanu Gurung,19194258,1983-07-19,46,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",IJKL3456GH,Pratiksha Dahal,2024-05-30 08:17:26.510138,001.01.19,"Bidur, Nuwakot, Nepal",Santosh Bahadur Dahal,Manju Gurung,3263,9012345679
20305417,FG890H,dipeshpokharel 1982-08-20 shyamsundarpokharel,,Hari Lama,20205417,1982-08-20,40,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",MNOP7890IJ,Dipesh Pokharel,2024-05-30 08:17:26.512316,001.01.20,"Damak, Jhapa, Nepal",Shyam Sundar Pokharel,Rita Lama,3264,123456790
